domain,hosts_in_use,category,status,owner,owner_profile_url,age_days,registered_date,website_url,edit_domain_id,source_page
mooo.com,860174,website,public,josh,https://freedns.afraid.org/tools/contact.php?user_id=1&subject=mooo.com,9262,03/15/2001,http://www.mooo.com/,29,1
chickenkiller.com,441886,website,public,josh,https://freedns.afraid.org/tools/contact.php?user_id=1&subject=chickenkiller.com,9334,01/02/2001,http://www.chickenkiller.com/,14,1
strangled.net,117303,website,public,josh,https://freedns.afraid.org/tools/contact.php?user_id=1&subject=strangled.net,9333,01/03/2001,http://www.strangled.net/,2,1
ignorelist.com,110998,website,public,josh,https://freedns.afraid.org/tools/contact.php?user_id=1&subject=ignorelist.com,8920,02/20/2002,http://www.ignorelist.com/,428,1
crabdance.com,103758,website,public,josh,https://freedns.afraid.org/tools/contact.php?user_id=1&subject=crabdance.com,7549,11/22/2005,http://www.crabdance.com/,88098,1
twilightparadox.com,53845,website,public,josh,https://freedns.afraid.org/tools/contact.php?user_id=1&subject=twilightparadox.com,8395,07/30/2003,http://www.twilightparadox.com/,8681,1
jumpingcrab.com,50018,website,public,josh,https://freedns.afraid.org/tools/contact.php?user_id=1&subject=jumpingcrab.com,7550,11/21/2005,http://www.jumpingcrab.com/,87966,1
record-point.com.au,32396,website,private,comlinkit,https://freedns.afraid.org/tools/contact.php?user_id=1898638&subject=record-point.com.au,3088,02/08/2018,http://www.record-point.com.au/,1239264,1
my.to,32097,website,private,an0nym,https://freedns.afraid.org/tools/contact.php?user_id=1720647&subject=my.to,4443,05/25/2014,http://www.my.to/,992713,1
axsetubal.pt,24337,website,private,kosmys,https://freedns.afraid.org/tools/contact.php?user_id=312024&subject=axsetubal.pt,6722,02/27/2008,http://www.axsetubal.pt/,228682,1
barabesta.is,21980,website,public,oseice,https://freedns.afraid.org/tools/contact.php?user_id=4361091&subject=barabesta.is,450,04/29/2025,http://www.barabesta.is/,1453564,1
privatedns.org,19665,website,private,four2theizz0,https://freedns.afraid.org/tools/contact.php?user_id=248679&subject=privatedns.org,7229,10/08/2006,http://www.privatedns.org/,142480,1
ftp.sh,18403,website,public,n8walker,https://freedns.afraid.org/tools/contact.php?user_id=95551&subject=ftp.sh,7484,01/26/2006,http://www.ftp.sh/,101145,1
mine.bz,16336,website,public,carlb613,https://freedns.afraid.org/tools/contact.php?user_id=323919&subject=mine.bz,6904,08/29/2007,http://www.mine.bz/,195786,1
undo.it,12599,website,public,lyranet,https://freedns.afraid.org/tools/contact.php?user_id=23700&subject=undo.it,8004,08/24/2004,http://www.undo.it/,26403,1
bot.nu,12364,website,public,icekung,https://freedns.afraid.org/tools/contact.php?user_id=79746&subject=bot.nu,8023,08/05/2004,http://www.bot.nu/,25318,1
info.gf,11781,website,public,carlb613,https://freedns.afraid.org/tools/contact.php?user_id=323919&subject=info.gf,6171,08/31/2009,http://www.info.gf/,342460,1
